iter	RMSE
0	62663.03965
1	58754.88005
2	55288.22747
3	52114.24616
4	49471.2496
5	47129.18908
6	44679.4752
7	42173.17442
8	40093.13106
9	38405.45772
10	36484.0352
11	34866.56807
12	33311.74044
13	32070.86794
14	31076.58494
15	29877.79922
16	28948.48798
17	28071.4011
18	27235.05442
19	26717.76703
20	26119.30044
21	25429.30692
22	24889.18323
23	24460.47607
24	23960.73394
25	23564.77469
26	23070.95547
27	22560.56955
28	22160.25736
29	21710.59264
30	21330.3838
31	20982.8476
32	20760.81213
33	20421.28933
34	20258.66239
35	20101.04831
36	19835.07637
37	19672.3303
38	19530.58384
39	19356.10947
40	19175.79375
41	18934.22596
42	18769.78071
43	18375.88569
44	18177.73928
45	17850.31393
46	17740.68208
47	17662.53741
48	17488.22757
49	17298.37291
50	17100.38199
51	16998.64021
52	16859.91966
53	16777.87795
54	16659.75851
55	16466.17095
56	16396.85501
57	16262.66921
58	16105.28855
59	15993.98943
60	15818.32634
61	15727.81861
62	15651.23351
63	15593.5038
64	15408.9057
65	15351.11967
66	15290.10723
67	15194.58643
68	15032.59713
69	14958.55626
70	14871.76358
71	14786.69844
72	14699.05236
73	14632.69138
74	14507.78317
75	14386.60944
76	14370.36187
77	14315.78587
78	14206.41969
79	14142.18505
80	14090.79682
81	14038.02901
82	13990.92463
83	13896.28783
84	13820.87744
85	13767.49242
86	13703.64858
87	13646.77239
88	13545.33384
89	13480.771
90	13408.2721
91	13318.26629
92	13244.91865
93	13124.64118
94	13075.95429
95	12993.92669
96	12915.25929
97	12805.6861
98	12757.66601
99	12706.34019
100	12633.08699
101	12548.11776
102	12486.73265
103	12396.55967
104	12286.8273
105	12239.73637
106	12164.06371
107	12103.17366
108	12021.45303
109	11977.96829
110	11938.66886
111	11894.96325
112	11855.1147
113	11775.64337
114	11752.90858
115	11707.74057
116	11652.52569
117	11575.49777
118	11528.3316
119	11461.44344
120	11412.48087
121	11374.15625
122	11337.73254
123	11304.78775
124	11233.68883
125	11186.088
126	11128.50026
127	11100.23232
128	11049.45461
129	11001.00773
130	10959.46483
131	10898.25368
132	10862.53782
133	10830.75428
134	10762.31791
135	10712.41999
136	10688.50114
137	10637.52206
138	10581.00006
139	10546.97283
140	10504.78816
141	10474.24537
142	10431.90993
143	10389.19653
144	10369.86994
145	10332.55796
146	10308.39776
147	10250.39208
148	10203.80466
149	10174.4399
150	10148.52513
151	10098.88474
152	10053.15963
153	10016.49831
154	9982.576223
155	9942.179087
156	9900.777026
157	9834.946614
158	9810.447791
159	9747.314735
160	9700.036949
161	9669.111632
162	9623.301128
163	9602.51248
164	9558.338912
165	9533.134026
166	9508.598293
167	9463.533344
168	9420.827905
169	9395.596211
170	9356.054913
171	9306.372762
172	9283.462586
173	9242.691073
174	9211.99448
175	9177.791856
176	9147.613785
177	9130.891502
178	9104.684844
179	9061.688317
180	9011.769784
181	8975.695356
182	8944.594036
183	8927.045307
184	8891.506701
185	8845.838934
186	8823.649963
187	8783.614481
188	8748.256437
189	8721.75231
190	8690.033267
191	8660.260674
192	8628.429743
193	8599.096603
194	8569.472795
195	8544.211538
196	8489.618325
197	8470.024817
198	8441.726419
199	8412.908392
