iter	Passed	Remaining
0	10	2078
1	21	2151
2	33	2210
3	45	2229
4	61	2393
5	80	2586
6	102	2815
7	114	2759
8	126	2688
9	138	2623
10	150	2589
11	162	2546
12	173	2496
13	185	2458
14	197	2432
15	209	2414
16	222	2390
17	234	2366
18	249	2381
19	272	2449
20	300	2563
21	321	2600
22	341	2626
23	401	2945
24	419	2935
25	433	2903
26	445	2855
27	457	2810
28	469	2767
29	480	2723
30	492	2684
31	504	2647
32	515	2609
33	528	2579
34	538	2536
35	547	2492
36	559	2463
37	570	2434
38	588	2429
39	600	2402
40	613	2378
41	624	2348
42	635	2320
43	645	2290
44	656	2261
45	663	2222
46	671	2186
47	695	2202
48	723	2230
49	750	2252
50	762	2228
51	774	2203
52	789	2188
53	801	2167
54	813	2144
55	824	2120
56	835	2097
57	847	2075
58	858	2052
59	872	2035
60	890	2028
61	907	2020
62	928	2019
63	946	2011
64	965	2004
65	986	2002
66	1004	1993
67	1031	2001
68	1051	1997
69	1077	2001
70	1095	1990
71	1114	1982
72	1140	1983
73	1149	1956
74	1158	1931
75	1168	1906
76	1177	1881
77	1192	1864
78	1202	1841
79	1211	1817
80	1221	1794
81	1231	1772
82	1241	1749
83	1250	1727
84	1260	1704
85	1268	1681
86	1276	1658
87	1285	1635
88	1293	1613
89	1301	1590
90	1309	1569
91	1317	1546
92	1326	1526
93	1335	1505
94	1343	1485
95	1352	1464
96	1360	1444
97	1368	1424
98	1376	1404
99	1384	1384
100	1393	1365
101	1403	1348
102	1414	1331
103	1426	1316
104	1435	1299
105	1445	1281
106	1454	1264
107	1464	1247
108	1473	1230
109	1482	1213
110	1492	1196
111	1502	1180
112	1512	1164
113	1521	1147
114	1530	1131
115	1539	1114
116	1549	1099
117	1560	1084
118	1570	1068
119	1579	1052
120	1587	1036
121	1596	1020
122	1606	1005
123	1615	990
124	1631	978
125	1640	963
126	1649	948
127	1659	933
128	1669	918
129	1678	903
130	1687	888
131	1696	874
132	1705	859
133	1713	844
134	1722	829
135	1731	814
136	1739	800
137	1750	786
138	1758	771
139	1770	758
140	1778	744
141	1787	730
142	1796	716
143	1805	701
144	1813	687
145	1821	673
146	1830	659
147	1838	645
148	1846	632
149	1854	618
150	1862	604
151	1871	590
152	1879	577
153	1888	563
154	1896	550
155	1904	537
156	1913	523
157	1922	511
158	1932	498
159	1941	485
160	1951	472
161	1966	461
162	1974	448
163	1983	435
164	1992	422
165	2000	409
166	2008	396
167	2015	383
168	2023	371
169	2031	358
170	2039	345
171	2047	333
172	2054	320
173	2062	308
174	2069	295
175	2077	283
176	2084	270
177	2091	258
178	2099	246
179	2106	234
180	2115	222
181	2123	209
182	2130	197
183	2137	185
184	2145	173
185	2152	162
186	2160	150
187	2167	138
188	2175	126
189	2182	114
190	2190	103
191	2197	91
192	2205	79
193	2213	68
194	2221	56
195	2228	45
196	2236	34
197	2243	22
198	2251	11
199	2258	0
